00:00:00;1
00:00:05;2
00:07:51;3
00:07:58;4
00:09:51;5
00:10:45;6
00:13:37;7
00:15:01;8
00:15:11;7
00:15:40;8
00:16:19;9
00:16:43;8
00:16:44;7
00:17:21;7
00:17:35;9
00:17:37;10
00:26:47;11
00:35:58;12
00:36:02;11
00:38:10;12
00:38:17;11
00:38:19;12
00:38:34;13
00:41:20;14
00:41:26;15
00:46:19;16
00:47:30;17
00:48:08;18
00:49:41;17
00:49:42;18
00:49:43;19
00:49:43;18
00:52:16;19
00:52:19;20
00:56:22;19
00:57:17;20
00:59:48;21
01:00:08;20
01:03:05;21
01:03:07;20
01:03:56;21
01:03:59;20
01:04:03;19
01:13:17;20
01:13:21;21
01:14:31;22
01:19:59;23
01:20:21;24
01:24:40;25
01:27:46;26
01:27:48;25
01:28:50;24
01:29:55;25
01:29:58;26
01:30:00;27
01:31:09;28
01:34:13;29
01:39:04;30
01:39:26;29
01:40:20;30
01:43:39;31
01:43:55;32
01:46:03;33
01:47:49;34
01:49:09;33
